src,average_scc,out_degree,in_degree,bi_degree,bi_degree_density,in_degree_density,out_degree_density,label
18785,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18786,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18787,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18788,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18789,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18790,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18791,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18792,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18793,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18794,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18795,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18796,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18797,0,0.0,4.0,0.0,0.0,1.0,0.0,1
18798,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18799,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18800,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18801,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18802,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18803,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18804,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18805,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18806,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18807,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18808,0,0.0,3.0,0.0,0.0,1.0,0.0,1
18809,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18810,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18811,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18812,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18813,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18814,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18815,0,0.0,1.0,0.0,0.0,1.0,0.0,1
